fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1500;27;0.003516;0.016257;0.0273;311.0;311.0;311.0;1.0;0.0;1;-30.0;30.0
289;28;0.000514;0.003417;0.0278;452.0;452.0;452.0;1.0;0.0;1;-30.0;30.0
307;28;0.001084;0.007198;0.0132;448.0;448.0;448.0;1.0;0.0;1;-30.0;30.0
1451;28;0.000523;0.002436;0.0167;348.0;348.0;348.0;1.0;0.0;1;-30.0;30.0
289;28;0.000514;0.003457;0.0203;356.0;356.0;356.0;1.0;0.0;1;-30.0;30.0
307;28;0.001086;0.007249;0.0132;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
1450;28;0.000553;0.002469;0.0157;405.0;405.0;405.0;1.0;0.0;1;-30.0;30.0
307;28;0.001086;0.007269;0.0132;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
842;31;0.001837;0.011694;0.0759;467.0;467.0;467.0;1.0;0.0;1;-30.0;30.0
960;31;0.001067;0.007131;0.0132;413.0;413.0;413.0;1.0;0.0;1;-30.0;30.0
1269;31;0.001284;0.008593;0.0152;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
1270;31;0.001284;0.008593;0.0162;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
1270;31;0.001284;0.008533;0.0162;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
212;33;0.000494;0.000928;0.0699;29203.0;29203.0;29203.0;1.0;0.0;1;-30.0;30.0
326;33;0.000184;0.00159;0.1661;422.0;422.0;422.0;1.0;0.0;1;-30.0;30.0
1153;33;0.000198;0.001711;0.1711;385.0;385.0;385.0;1.0;0.0;1;-30.0;30.0
1170;33;0.000751;0.003358;0.1534;385.0;385.0;385.0;1.0;0.0;1;-30.0;30.0
343;34;0.000178;0.001047;0.1499;452.0;452.0;452.0;1.0;0.0;1;-30.0;30.0
955;34;0.000316;0.002232;0.2774;452.0;452.0;452.0;1.0;0.0;1;-30.0;30.0
1257;35;0.037227;0.106836;0.0328;270.0;270.0;270.0;1.0;0.0;1;-30.0;30.0
1439;35;0.006089;0.020756;0.0067;1408.0;1408.0;1408.0;1.0;0.0;1;-30.0;30.0
846;36;0.000729;0.005118;0.0933;389.0;389.0;389.0;1.0;0.0;1;-30.0;30.0
846;36;0.000755;0.005235;0.0909;419.0;419.0;419.0;1.0;0.0;1;-30.0;30.0
228;37;0.001787;0.01946;0.4214;1579.0;1579.0;1579.0;1.0;0.0;1;-30.0;30.0
477;38;0.001719;0.00877;0.0157;321.0;321.0;321.0;1.0;0.0;1;-30.0;30.0
1179;38;0.009165;0.04318;0.077;321.0;321.0;321.0;1.0;0.0;1;-30.0;30.0
134;39;0.004879;0.032454;0.0602;487.0;487.0;487.0;1.0;0.0;1;-30.0;30.0
195;39;0.006341;0.042746;0.0785;418.0;418.0;418.0;1.0;0.0;1;-30.0;30.0
208;39;0.006914;0.031249;0.0547;327.0;327.0;327.0;1.0;0.0;1;-30.0;30.0
296;40;0.000582;0.007652;0.2643;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
766;40;0.001648;0.021634;0.748;1470.0;1470.0;1470.0;1.0;0.0;1;-30.0;30.0
950;40;0.000838;0.014301;0.5198;2227.0;2227.0;2227.0;1.0;0.0;1;-30.0;30.0
1282;40;0.001163;0.015312;0.5285;2077.0;2077.0;2077.0;1.0;0.0;1;-30.0;30.0
296;40;0.000575;0.007576;0.2614;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
766;40;0.001646;0.021633;0.7479;1470.0;1470.0;1470.0;1.0;0.0;1;-30.0;30.0
950;40;0.000838;0.014287;0.5198;2229.0;2229.0;2229.0;1.0;0.0;1;-30.0;30.0
1281;40;0.00117;0.015339;0.5285;2074.0;2074.0;2074.0;1.0;0.0;1;-30.0;30.0
1282;40;0.001821;0.017874;0.4318;1382.0;1382.0;1382.0;1.0;0.0;1;-30.0;30.0
558;41;0.000672;0.003477;0.0365;254.0;254.0;254.0;1.0;0.0;1;-30.0;30.0
1420;42;0.000632;0.004188;0.0081;471.0;471.0;471.0;1.0;0.0;1;-30.0;30.0
1420;43;0.000612;0.004148;0.0071;471.0;471.0;471.0;1.0;0.0;1;-30.0;30.0
1040;44;0.000672;0.004405;0.0081;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
1521;44;0.000968;0.004602;0.0081;304.0;304.0;304.0;1.0;0.0;1;-30.0;30.0
1040;44;0.000632;0.004444;0.0081;440.0;440.0;440.0;1.0;0.0;1;-30.0;30.0
1524;45;0.001975;0.013215;0.0243;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
1525;45;0.001956;0.013037;0.0243;2348.0;2348.0;2348.0;1.0;0.0;1;-30.0;30.0
1321;46;0.002933;0.010267;0.0032;3004.0;3004.0;3004.0;1.0;0.0;1;-30.0;30.0
1429;46;0.0028;0.007511;0.0022;4003.0;4003.0;4003.0;1.0;0.0;1;-30.0;30.0
49;48;2.0e-5;0.000198;0.0121;261.0;261.0;261.0;1.0;0.0;1;-30.0;30.0
49;47;2.0e-5;0.000198;0.0142;261.0;261.0;261.0;1.0;0.0;1;-30.0;30.0
298;49;0.002037;0.010904;0.0187;352.0;352.0;352.0;1.0;0.0;1;-30.0;30.0
318;49;0.000415;0.002015;0.1266;428.0;428.0;428.0;1.0;0.0;1;-30.0;30.0
370;49;0.000395;0.00156;0.1893;426.0;426.0;426.0;1.0;0.0;1;-30.0;30.0
608;49;4.0e-5;0.000178;0.0152;169660.0;169660.0;169660.0;1.0;0.0;1;-30.0;30.0
836;49;0.001323;0.012444;0.0678;935.0;935.0;935.0;1.0;0.0;1;-30.0;30.0
1227;49;0.000454;0.002133;0.2511;268.0;268.0;268.0;1.0;0.0;1;-30.0;30.0
1381;49;0.000119;0.000691;0.1002;387.0;387.0;387.0;1.0;0.0;1;-30.0;30.0
1411;49;0.00083;0.005175;0.0203;323.0;323.0;323.0;1.0;0.0;1;-30.0;30.0
836;49;0.001314;0.012115;0.0673;943.0;943.0;943.0;1.0;0.0;1;-30.0;30.0
1379;49;5.9e-5;0.000217;0.0496;323.0;323.0;323.0;1.0;0.0;1;-30.0;30.0
1378;49;5.9e-5;0.000217;0.0466;323.0;323.0;323.0;1.0;0.0;1;-30.0;30.0
1169;50;0.000158;0.000948;0.002;348.0;348.0;348.0;1.0;0.0;1;-30.0;30.0
704;51;0.001521;0.007076;0.0118;302.0;302.0;302.0;1.0;0.0;1;-30.0;30.0
1265;51;0.002469;0.011457;0.0203;315.0;315.0;315.0;1.0;0.0;1;-30.0;30.0
404;52;0.001442;0.009699;0.0172;566.0;566.0;566.0;1.0;0.0;1;-30.0;30.0
427;52;0.001422;0.009541;0.0172;566.0;566.0;566.0;1.0;0.0;1;-30.0;30.0
459;53;0.004681;0.028227;0.0516;440.0;440.0;440.0;1.0;0.0;1;-30.0;30.0
765;53;0.001185;0.008;0.0152;575.0;575.0;575.0;1.0;0.0;1;-30.0;30.0
1529;53;0.005333;0.02722;0.0491;440.0;440.0;440.0;1.0;0.0;1;-30.0;30.0
766;54;0.000145;0.001911;0.0661;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1416;54;0.000253;0.003323;0.1148;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1101;56;0.000494;0.002252;0.004;406.0;406.0;406.0;1.0;0.0;1;-30.0;30.0
1101;55;0.000494;0.002252;0.004;406.0;406.0;406.0;1.0;0.0;1;-30.0;30.0
320;1827;0.009857;0.04478;0.077;405.0;405.0;405.0;1.0;0.0;1;-30.0;30.0
813;1827;0.017106;0.078321;0.1387;362.0;362.0;362.0;1.0;0.0;1;-30.0;30.0
1287;1827;0.010272;0.048691;0.0866;354.0;354.0;354.0;1.0;0.0;1;-30.0;30.0
461;57;0.012978;0.059338;0.1002;409.0;409.0;409.0;1.0;0.0;1;-30.0;30.0
827;57;0.01197;0.056632;0.0942;262.0;262.0;262.0;1.0;0.0;1;-30.0;30.0
1429;58;0.000578;0.001156;0.0004;24825.0;24825.0;24825.0;1.0;0.0;1;-30.0;30.0
1090;60;0.000316;0.001679;0.0192;17970.0;17970.0;17970.0;1.0;0.0;1;-30.0;30.0
1090;59;0.000316;0.001679;0.0192;17970.0;17970.0;17970.0;1.0;0.0;1;-30.0;30.0
713;61;0.000277;0.000573;0.0334;48541.0;48541.0;48541.0;1.0;0.0;1;-30.0;30.0
1032;62;0.001055;0.004836;0.0081;432.0;432.0;432.0;1.0;0.0;1;-30.0;30.0
998;63;0.002114;0.008553;0.0152;346.0;346.0;346.0;1.0;0.0;1;-30.0;30.0
342;65;0.000158;0.000652;0.084;46138.0;46138.0;46138.0;1.0;0.0;1;-30.0;30.0
894;64;0.000198;0.000731;0.0942;385.0;385.0;385.0;1.0;0.0;1;-30.0;30.0
1265;66;0.00324;0.012616;0.0225;302.0;302.0;302.0;1.0;0.0;1;-30.0;30.0
1397;67;0.007522;0.029736;0.0496;303.0;303.0;303.0;1.0;0.0;1;-30.0;30.0
1543;67;0.006809;0.03043;0.0521;380.0;380.0;380.0;1.0;0.0;1;-30.0;30.0
404;69;0.002153;0.014736;0.0273;565.0;565.0;565.0;1.0;0.0;1;-30.0;30.0
469;68;0.000581;0.003838;0.0071;507.0;507.0;507.0;1.0;0.0;1;-30.0;30.0
791;68;0.001857;0.020306;0.0557;566.0;566.0;566.0;1.0;0.0;1;-30.0;30.0
1348;69;0.002331;0.015526;0.0278;549.0;549.0;549.0;1.0;0.0;1;-30.0;30.0
1480;68;0.001345;0.008968;0.0162;566.0;566.0;566.0;1.0;0.0;1;-30.0;30.0
470;68;0.000573;0.003911;0.0071;415.0;415.0;415.0;1.0;0.0;1;-30.0;30.0
640;68;0.001896;0.012701;0.0233;501.0;501.0;501.0;1.0;0.0;1;-30.0;30.0
556;70;0.000602;0.006717;0.1357;1725.0;1725.0;1725.0;1.0;0.0;1;-30.0;30.0
792;70;0.00063;0.007098;0.1588;1916.0;1916.0;1916.0;1.0;0.0;1;-30.0;30.0
1421;70;0.000367;0.004631;0.1126;2275.0;2275.0;2275.0;1.0;0.0;1;-30.0;30.0
792;70;0.000472;0.006201;0.2137;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1416;70;0.001504;0.019298;0.4577;1648.0;1648.0;1648.0;1.0;0.0;1;-30.0;30.0
203;72;0.000158;0.001106;0.1357;461.0;461.0;461.0;1.0;0.0;1;-30.0;30.0
375;71;0.000219;0.00193;0.1954;407.0;407.0;407.0;1.0;0.0;1;-30.0;30.0
403;71;0.000158;0.000909;0.1316;428.0;428.0;428.0;1.0;0.0;1;-30.0;30.0
982;71;0.000411;0.00356;0.3564;416.0;416.0;416.0;1.0;0.0;1;-30.0;30.0
1104;72;0.000158;0.001264;0.1286;416.0;416.0;416.0;1.0;0.0;1;-30.0;30.0
842;73;0.000198;0.001383;0.003;420.0;420.0;420.0;1.0;0.0;1;-30.0;30.0
842;74;0.000217;0.001402;0.003;420.0;420.0;420.0;1.0;0.0;1;-30.0;30.0
387;75;0.001304;0.008691;0.0152;525.0;525.0;525.0;1.0;0.0;1;-30.0;30.0
842;75;0.000691;0.004662;0.0091;541.0;541.0;541.0;1.0;0.0;1;-30.0;30.0
78;76;9.9e-5;0.000415;0.0456;434.0;434.0;434.0;1.0;0.0;1;-30.0;30.0
300;77;1.0e-6;0.000104;0.078;1051.0;1051.0;1051.0;1.0;0.0;1;-30.0;30.0
436;77;0.000353;0.004584;0.1184;2357.0;2357.0;2357.0;1.0;0.0;1;-30.0;30.0
705;77;0.000699;0.009179;0.3177;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
436;77;0.000353;0.004584;0.1184;2357.0;2357.0;2357.0;1.0;0.0;1;-30.0;30.0
705;77;0.000734;0.009245;0.3148;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
302;77;7.0e-6;0.000104;0.0029;1382.0;1382.0;1382.0;1.0;0.0;1;-30.0;30.0
301;77;7.0e-6;0.000104;0.0029;1382.0;1382.0;1382.0;1.0;0.0;1;-30.0;30.0
435;78;0.002556;0.017333;0.0805;418.0;418.0;418.0;1.0;0.0;1;-30.0;30.0
1040;78;0.008849;0.062617;0.1144;471.0;471.0;471.0;1.0;0.0;1;-30.0;30.0
1431;79;2.2e-5;9.9e-5;0.001;405.0;405.0;405.0;1.0;0.0;1;-30.0;30.0
1430;80;2.0e-5;9.9e-5;0.0;306724.0;306724.0;306724.0;1.0;0.0;1;-30.0;30.0
745;81;0.000573;0.002588;0.0051;388.0;388.0;388.0;1.0;0.0;1;-30.0;30.0
1432;82;2.0e-5;0.000198;0.001;566.0;566.0;566.0;1.0;0.0;1;-30.0;30.0
626;83;0.000138;0.00077;0.001;272.0;272.0;272.0;1.0;0.0;1;-30.0;30.0
181;84;0.001171;0.007842;0.0166;296.0;296.0;296.0;1.0;0.0;1;-30.0;30.0
854;84;0.002212;0.014979;0.0388;401.0;401.0;401.0;1.0;0.0;1;-30.0;30.0
1186;85;0.000691;0.002588;0.1691;11556.0;11556.0;11556.0;1.0;0.0;1;-30.0;30.0
1187;85;0.000691;0.002588;0.1509;11556.0;11556.0;11556.0;1.0;0.0;1;-30.0;30.0
553;86;0.001627;0.014855;0.3899;1717.0;1717.0;1717.0;1.0;0.0;1;-30.0;30.0
553;86;0.001676;0.013899;0.4216;1711.0;1711.0;1711.0;1.0;0.0;1;-30.0;30.0
519;87;0.003081;0.020286;0.0365;420.0;420.0;420.0;1.0;0.0;1;-30.0;30.0
870;87;0.00241;0.01603;0.0294;440.0;440.0;440.0;1.0;0.0;1;-30.0;30.0
1300;88;0.000176;0.001385;0.1521;378.0;378.0;378.0;1.0;0.0;1;-30.0;30.0
1351;88;0.001817;0.012642;0.0233;440.0;440.0;440.0;1.0;0.0;1;-30.0;30.0
1351;88;0.001865;0.012502;0.0229;502.0;502.0;502.0;1.0;0.0;1;-30.0;30.0
283;89;0.007422;0.024489;0.0081;1227.0;1227.0;1227.0;1.0;0.0;1;-30.0;30.0
467;89;0.028356;0.083956;0.0274;355.0;355.0;355.0;1.0;0.0;1;-30.0;30.0
729;89;0.016844;0.058489;0.0198;516.0;516.0;516.0;1.0;0.0;1;-30.0;30.0
1335;89;0.009067;0.028133;0.0095;1069.0;1069.0;1069.0;1.0;0.0;1;-30.0;30.0
1433;90;0.000593;0.00401;0.0071;471.0;471.0;471.0;1.0;0.0;1;-30.0;30.0
376;91;0.010351;0.032395;0.0562;903.0;903.0;903.0;1.0;0.0;1;-30.0;30.0
1489;91;0.009146;0.025778;0.041;1123.0;1123.0;1123.0;1.0;0.0;1;-30.0;30.0
934;93;0.000395;0.006648;0.2426;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
950;93;0.000492;0.008345;0.3032;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1062;92;0.001198;0.015699;0.5401;2026.0;2026.0;2026.0;1.0;0.0;1;-30.0;30.0
1110;93;0.000734;0.010623;0.2772;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1282;92;0.001479;0.019446;0.6729;1636.0;1636.0;1636.0;1.0;0.0;1;-30.0;30.0
1347;92;0.000305;0.003975;0.1386;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
935;92;0.000395;0.006641;0.2426;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
950;92;0.000492;0.008338;0.3032;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1062;93;0.001184;0.015568;0.5372;2043.0;2043.0;2043.0;1.0;0.0;1;-30.0;30.0
1110;92;0.000734;0.010623;0.2772;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1281;93;0.001482;0.019467;0.6729;1634.0;1634.0;1634.0;1.0;0.0;1;-30.0;30.0
1347;93;0.000305;0.003982;0.1386;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
937;92;0.000388;0.0066;0.2397;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
936;93;0.000388;0.006593;0.2397;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1149;96;0.001817;0.012049;0.0233;439.0;439.0;439.0;1.0;0.0;1;-30.0;30.0
149;97;0.003496;0.023269;0.0425;575.0;575.0;575.0;1.0;0.0;1;-30.0;30.0
680;98;0.030213;0.105538;0.0315;291.0;291.0;291.0;1.0;0.0;1;-30.0;30.0
701;98;0.019498;0.06712;0.0206;459.0;459.0;459.0;1.0;0.0;1;-30.0;30.0
702;99;0.006262;0.040849;0.0749;398.0;398.0;398.0;1.0;0.0;1;-30.0;30.0
1232;100;2.0e-5;0.000198;0.003;155143.0;155143.0;155143.0;1.0;0.0;1;-30.0;30.0
616;101;0.001936;0.0128;0.0182;357.0;357.0;357.0;1.0;0.0;1;-30.0;30.0
231;104;2.0e-5;0.000198;0.0081;155535.0;155535.0;155535.0;1.0;0.0;1;-30.0;30.0
955;104;0.000296;0.000988;0.2207;288.0;288.0;288.0;1.0;0.0;1;-30.0;30.0
232;1828;8.5e-5;0.000198;0.0192;386.0;386.0;386.0;1.0;0.0;1;-30.0;30.0
542;105;0.002487;0.016492;0.0304;434.0;434.0;434.0;1.0;0.0;1;-30.0;30.0
628;105;0.000873;0.003563;0.004;370.0;370.0;370.0;1.0;0.0;1;-30.0;30.0
772;105;0.003563;0.023682;0.044;507.0;507.0;507.0;1.0;0.0;1;-30.0;30.0
1059;105;0.002724;0.018108;0.0334;383.0;383.0;383.0;1.0;0.0;1;-30.0;30.0
627;105;0.000873;0.003563;0.004;370.0;370.0;370.0;1.0;0.0;1;-30.0;30.0
955;106;0.000257;0.000928;0.1134;331.0;331.0;331.0;1.0;0.0;1;-30.0;30.0
122;107;0.002291;0.009936;0.0304;307.0;307.0;307.0;1.0;0.0;1;-30.0;30.0
872;107;0.004168;0.028918;0.0597;389.0;389.0;389.0;1.0;0.0;1;-30.0;30.0
1127;107;0.002054;0.024691;0.1276;584.0;584.0;584.0;1.0;0.0;1;-30.0;30.0
1168;107;0.004879;0.032533;0.0607;344.0;344.0;344.0;1.0;0.0;1;-30.0;30.0
1405;107;0.005294;0.036998;0.0668;428.0;428.0;428.0;1.0;0.0;1;-30.0;30.0
1436;107;0.001422;0.009896;0.0172;428.0;428.0;428.0;1.0;0.0;1;-30.0;30.0
554;108;0.002168;0.029238;0.9906;1087.0;1087.0;1087.0;1.0;0.0;1;-30.0;30.0
596;108;0.001468;0.01491;0.3841;1579.0;1579.0;1579.0;1.0;0.0;1;-30.0;30.0
776;108;0.002479;0.028151;0.6296;1128.0;1128.0;1128.0;1.0;0.0;1;-30.0;30.0
1128;108;0.00072;0.00946;0.3263;1382.0;1382.0;1382.0;1.0;0.0;1;-30.0;30.0
597;108;0.00142;0.01617;0.3636;1579.0;1579.0;1579.0;1.0;0.0;1;-30.0;30.0
776;108;0.002486;0.028165;0.6296;1127.0;1127.0;1127.0;1.0;0.0;1;-30.0;30.0
1216;108;0.001184;0.016073;0.4869;1979.0;1979.0;1979.0;1.0;0.0;1;-30.0;30.0
854;109;0.000521;0.002315;0.019;13045.0;13045.0;13045.0;1.0;0.0;1;-30.0;30.0
145;110;0.000178;0.000909;0.002;405.0;405.0;405.0;1.0;0.0;1;-30.0;30.0
227;111;0.00241;0.015694;0.0294;413.0;413.0;413.0;1.0;0.0;1;-30.0;30.0
783;111;0.006874;0.044761;0.0835;413.0;413.0;413.0;1.0;0.0;1;-30.0;30.0
772;112;0.001521;0.021728;0.0871;831.0;831.0;831.0;1.0;0.0;1;-30.0;30.0
1533;112;0.001304;0.017205;0.0729;935.0;935.0;935.0;1.0;0.0;1;-30.0;30.0
297;113;0.000336;0.001363;0.1499;331.0;331.0;331.0;1.0;0.0;1;-30.0;30.0
371;113;0.000178;0.001422;0.1448;339.0;339.0;339.0;1.0;0.0;1;-30.0;30.0
1348;114;0.002252;0.011951;0.0218;432.0;432.0;432.0;1.0;0.0;1;-30.0;30.0
1435;114;0.00079;0.005333;0.0101;432.0;432.0;432.0;1.0;0.0;1;-30.0;30.0
394;115;0.001501;0.010015;0.0182;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
413;115;0.003103;0.021146;0.04;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
1341;115;0.00162;0.010765;0.0203;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
1514;115;0.001807;0.017201;0.0618;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
132;115;0.000217;0.001442;0.003;545.0;545.0;545.0;1.0;0.0;1;-30.0;30.0
1341;115;0.00162;0.010726;0.0203;535.0;535.0;535.0;1.0;0.0;1;-30.0;30.0
131;115;0.000119;0.001086;0.004;545.0;545.0;545.0;1.0;0.0;1;-30.0;30.0
651;117;0.00072;0.009453;0.3263;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
774;117;0.003206;0.03536;0.9025;899.0;899.0;899.0;1.0;0.0;1;-30.0;30.0
1367;117;0.000616;0.008054;0.2772;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
651;117;0.000713;0.009384;0.3235;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1368;117;0.000616;0.008061;0.2772;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
133;117;3.5e-5;0.000374;0.0087;921.0;921.0;921.0;1.0;0.0;1;-30.0;30.0
990;119;0.013393;0.069551;0.1261;391.0;391.0;391.0;1.0;0.0;1;-30.0;30.0
1031;119;0.013491;0.070361;0.1271;412.0;412.0;412.0;1.0;0.0;1;-30.0;30.0
845;120;0.001956;0.010469;0.3286;461.0;461.0;461.0;1.0;0.0;1;-30.0;30.0
1021;120;0.001402;0.010173;0.2673;482.0;482.0;482.0;1.0;0.0;1;-30.0;30.0
1302;121;0.000648;0.00657;0.1704;1633.0;1633.0;1633.0;1.0;0.0;1;-30.0;30.0
1302;121;0.000651;0.006572;0.1704;1633.0;1633.0;1633.0;1.0;0.0;1;-30.0;30.0
622;123;0.00332;0.015328;0.0267;288.0;288.0;288.0;1.0;0.0;1;-30.0;30.0
