GENERATORS REPORT
========================================================================== 
   ID     BUS     P_g (MW)  Q_g (MVAr)   S_g (MVA)   Loading_P   Loading_Q 
   75    338        0.00        0.00        0.00      0.0000      0.0000   
   76    338        0.00        0.00        0.00      0.0000      0.0000   
   77    345        0.00        0.00        0.00      0.0000      0.0000   
   78    345        0.00        0.00        0.00      0.0000      0.0000   
   79    348        0.00        0.00        0.00      0.0000      0.0000   
   80    357        0.00        0.00        0.00      0.0000      0.0000   
   81    357        0.00        0.00        0.00      0.0000      0.0000   
   82    364      130.00        0.00      130.00      1.0000      0.0000   
   83    391        0.00        0.00        0.00      0.0000      0.0000   
   84    409        0.00        0.00        0.00      0.0000      0.0000   
   85    411        0.00        0.00        0.00      0.0000      0.0000   
   86    411        0.00        0.00        0.00      0.0000      0.0000   
   87    431        0.00        0.00        0.00      0.0000      0.0000   
   88    440        0.00        0.00        0.00      0.0000      0.0000   
   89    447       25.00        0.00       25.00      1.0000      0.0000   
   90    462        0.00        0.00        0.00      0.0000      0.0000   
   91    462        0.00        0.00        0.00      0.0000      0.0000   
   92    464       27.00        0.00       27.00      1.0000      0.0000   
   93    464       27.00        0.00       27.00      1.0000      0.0000   
   94    466        0.00        0.00        0.00     -0.0000      0.0000   
   95    470        0.00        0.00        0.00      0.0000      0.0000   
   96    470        0.00        0.00        0.00      0.0000      0.0000   
   97    479        0.00        0.00        0.00      0.0000      0.0000   
   98    479        0.00        0.00        0.00      0.0000      0.0000   
   99    479        0.00        0.00        0.00      0.0000      0.0000   
  100    491        0.00        0.00        0.00      0.0000      0.0000   
  101    508        0.00        0.00        0.00      0.0000      0.0000   
  102    519        0.00        0.00        0.00      0.0000      0.0000   
  103    520        0.00        0.00        0.00      0.0000      0.0000   
  104    530        8.00        0.00        8.00      1.0000      0.0000   
  105    530        8.00        0.00        8.00      1.0000      0.0000   
  106    530        8.00        0.00        8.00      1.0000      0.0000   
  107    537        0.00        0.00        0.00      0.0000      0.0000   
  108    537        0.00        0.00        0.00      0.0000      0.0000   
  109    546        0.00        0.00        0.00      0.0000      0.0000   
  110    548        0.00        0.00        0.00      0.0000      0.0000   
  111    570        0.00        0.00        0.00      0.0000      0.0000   
  112    570        0.00        0.00        0.00      0.0000      0.0000   
  113    570        0.00        0.00        0.00      0.0000      0.0000   
  114    583        0.00        0.00        0.00      0.0000      0.0000   
  115    585        0.00        0.00        0.00      0.0000      0.0000   
  116    586        0.00        0.00        0.00      0.0000      0.0000   
  117    589        0.00        0.00        0.00      0.0000      0.0000   
  118    593        0.00        0.00        0.00      0.0000      0.0000   
  119    600        0.00        0.00        0.00      0.0000      0.0000   
  120    610       45.00        0.00       45.00      1.0000      0.0000   
  121    610        0.00        0.00        0.00      0.0000      0.0000   
  122    612        0.00        0.00        0.00      0.0000      0.0000   
  123    612        0.00        0.00        0.00      0.0000      0.0000   
  124    612        0.00        0.00        0.00      0.0000      0.0000   
  125    613        0.00        0.00        0.00      0.0000      0.0000   
  126    613        0.00        0.00        0.00      0.0000      0.0000   
  127    624       -8.30        0.00       -8.30      0.0000      0.0000   
  128    633        0.00        0.00        0.00      0.0000      0.0000   
  129    636        0.00        0.00        0.00      0.0000      0.0000   
  130    636       15.00        0.00       15.00      1.0000      0.0000   
  131    646      239.00        0.00      239.00      1.0000      0.0000   
  132    657        0.00        0.00        0.00      0.0000      0.0000   
  133    675        0.00        0.00        0.00      0.0000      0.0000   
  134    675        0.00        0.00        0.00      0.0000      0.0000   
  135    676        0.00        0.00        0.00      0.0000      0.0000   
  136    676        0.00        0.00        0.00      0.0000      0.0000   
  137    684        0.00        0.00        0.00      0.0000      0.0000   
  138    685        0.00        0.00        0.00      0.0000      0.0000   
  139    689        9.00        0.00        9.00      1.0000      0.0000   
  140    689        0.00        0.00        0.00      0.0000      0.0000   
  141    689        0.00        0.00        0.00      0.0000      0.0000   
  142    689        0.00        0.00        0.00      0.0000      0.0000   
  143    700        0.00        0.00        0.00      0.0000      0.0000   
  144    700        0.00        0.00        0.00      0.0000      0.0000   
  145    700        0.00        0.00        0.00      0.0000      0.0000   
  146    704        0.00        0.00        0.00      0.0000      0.0000   
  147    704        0.00        0.00        0.00      0.0000      0.0000   
  148    703       37.00        0.00       37.00      1.0000      0.0000   
  149    703       37.00        0.00       37.00      1.0000      0.0000   
  150    702        0.00        0.00        0.00      0.0000      0.0000   
  151    702       37.00        0.00       37.00      1.0000      0.0000   
  152    710        0.00        0.00        0.00      0.0000      0.0000   
  153    710        0.00        0.00        0.00      0.0000      0.0000   
  154    710        5.70        0.00        5.70      1.0000      0.0000   
  155    710        0.00        0.00        0.00      0.0000      0.0000   
  156    737        0.00        0.00        0.00      0.0000      0.0000   
  157    738        0.00        0.00        0.00      0.0000      0.0000   
  158    739        0.00        0.00        0.00      0.0000      0.0000   
  159    739        0.00        0.00        0.00      0.0000      0.0000   
  160    741        0.00        0.00        0.00      0.0000      0.0000   
  161    741        0.00        0.00        0.00      0.0000      0.0000   
  162    742        0.00        0.00        0.00      0.0000      0.0000   
  163    749        0.00        0.00        0.00      0.0000      0.0000   
  164    749        0.00        0.00        0.00      0.0000      0.0000   
  165    750        0.00        0.00        0.00      0.0000      0.0000   
  166    751        1.00        0.00        1.00      0.0000      0.0000   
  167    756        0.00        0.00        0.00      0.0000      0.0000   
  168    763        0.00        0.00        0.00      0.0000      0.0000   
  169    765        0.00        0.00        0.00      0.0000      0.0000   
  170    766        0.00        0.00        0.00      0.0000      0.0000   
  171    765        0.00        0.00        0.00      0.0000      0.0000   
  172    766        0.00        0.00        0.00      0.0000      0.0000   
  173    767        0.00        0.00        0.00      0.0000      0.0000   
  174    767        0.00        0.00        0.00      0.0000      0.0000   
  175    767        0.00        0.00        0.00      0.0000      0.0000   
  176    767        0.00        0.00        0.00      0.0000      0.0000   
  177    771        0.00        0.00        0.00      0.0000      0.0000   
  178    771       34.00        0.00       34.00      1.0000      0.0000   
  179    791        0.00        0.00        0.00      0.0000      0.0000   
  180    791        0.00        0.00        0.00      0.0000      0.0000   
  181    792        0.00        0.00        0.00      0.0000      0.0000   
  182    806        0.00        0.00        0.00      0.0000      0.0000   
  183    806        0.00        0.00        0.00      0.0000      0.0000   
  184    807        0.00        0.00        0.00      0.0000      0.0000   
  185    807       31.00        0.00       31.00      1.0000      0.0000   
  186    808       31.00        0.00       31.00      1.0000      0.0000   
  187    808        0.00        0.00        0.00      0.0000      0.0000   
  188    812       40.80        0.00       40.80      1.0000      0.0000   
  189    820       32.00        0.00       32.00      1.0000      0.0000   
  190    820        0.00        0.00        0.00     -0.0000      0.0000   
  191    821       32.00        0.00       32.00      1.0000      0.0000   
  192    821        1.00        0.00        1.00      0.0000      0.0000   
  193    821       32.00        0.00       32.00      1.0000      0.0000   
  194    821       32.00        0.00       32.00      1.0000      0.0000   
  195    831        0.00        0.00        0.00      0.0000      0.0000   
  196    831        0.00        0.00        0.00      0.0000      0.0000   
  197    834        0.00        0.00        0.00      0.0000      0.0000   
  198    835       27.00        0.00       27.00      1.0000      0.0000   
  199    836        0.00        0.00        0.00      0.0000      0.0000   
  200    838        0.00        0.00        0.00      0.0000      0.0000   
  201    838        0.00        0.00        0.00      0.0000      0.0000   
  202    841        0.00        0.00        0.00      0.0000      0.0000   
  203    843        0.00        0.00        0.00      0.0000      0.0000   
  204    843        0.00        0.00        0.00      0.0000      0.0000   
  205    862        0.00        0.00        0.00      0.0000      0.0000   
  206    862        0.00        0.00        0.00      0.0000      0.0000   
  207    869        0.00        0.00        0.00      0.0000      0.0000   
  208    870       14.00        0.00       14.00      1.0000      0.0000   
  209    890        0.00        0.00        0.00      0.0000      0.0000   
  210    890        0.00        0.00        0.00      0.0000      0.0000   
  211    894        0.00        0.00        0.00      0.0000      0.0000   
  212    894        0.00        0.00        0.00      0.0000      0.0000   
  213    894        0.00        0.00        0.00      0.0000      0.0000   
  214    894        0.00        0.00        0.00      0.0000      0.0000   
  215    912        0.00        0.00        0.00      0.0000      0.0000   
  216    945        0.00        0.00        0.00      0.0000      0.0000   
  217    949        0.00        0.00        0.00      0.0000      0.0000   
  218    970       50.00        0.00       50.00      1.0000      0.0000   
  219    972        0.00        0.00        0.00      0.0000      0.0000   
  220    978        8.00        0.00        8.00      1.0000      0.0000   
  221    978        0.00        0.00        0.00      0.0000      0.0000   
  222    988        0.00        0.00        0.00      0.0000      0.0000   
  223    988        0.00        0.00        0.00      0.0000      0.0000   
  224    988        0.00        0.00        0.00      0.0000      0.0000   
  225    990        0.00        0.00        0.00      0.0000      0.0000   
  226    992        0.00        0.00        0.00      0.0000      0.0000   
  227   1014        0.00        0.00        0.00      0.0000      0.0000   
  228   1014        0.00        0.00        0.00      0.0000      0.0000   
  229   1018        0.00        0.00        0.00      0.0000      0.0000   
  230   1030        0.00        0.00        0.00      0.0000      0.0000   
  231   1053        0.00        0.00        0.00      0.0000      0.0000   
  232   1055        0.00        0.00        0.00      0.0000      0.0000   
  233   1055        0.00        0.00        0.00      0.0000      0.0000   
  234   1062        7.00        0.00        7.00      0.0000      0.0000   
  235   1063        0.00        0.00        0.00      0.0000      0.0000   
  236   1070        0.00        0.00        0.00      0.0000      0.0000   
  237   1071       12.00        0.00       12.00      1.0000      0.0000   
  238   1075        0.00        0.00        0.00      0.0000      0.0000   
  239   1113       14.00        0.00       14.00      0.0000      0.0000   
  240   1113        8.00        0.00        8.00      1.0000      0.0000   
  241   1113        5.00        0.00        5.00      0.0000      0.0000   
  242   1113        5.00        0.00        5.00      0.0000      0.0000   
  243   1115        0.00        0.00        0.00      0.0000      0.0000   
  244   1115        0.00        0.00        0.00      0.0000      0.0000   
  245   1130        0.00        0.00        0.00      0.0000      0.0000   
  246   1133        0.00        0.00        0.00      0.0000      0.0000   
  247   1140        0.00        0.00        0.00      0.0000      0.0000   
  248   1152        0.00        0.00        0.00      0.0000      0.0000   
  249   1152        0.00        0.00        0.00      0.0000      0.0000   
  250   1215       62.00        0.00       62.00      1.0000      0.0000   
  251   1216        0.00        0.00        0.00      0.0000      0.0000   
  252   1226        0.00        0.00        0.00      0.0000      0.0000   
  253   1251        0.00        0.00        0.00      0.0000      0.0000   
  254   1251        0.00        0.00        0.00      0.0000      0.0000   
  255   1261        0.00        0.00        0.00      0.0000      0.0000   
  256   1263        0.00        0.00        0.00      0.0000      0.0000   
  257   1264       24.00        0.00       24.00      1.0000      0.0000   
  258   1268        0.00        0.00        0.00      0.0000      0.0000   
  259   1282        0.00        0.00        0.00      0.0000      0.0000   
  260   1282        0.00        0.00        0.00      0.0000      0.0000   
  261   1291        0.00        0.00        0.00      0.0000      0.0000   
  262   1291        0.00        0.00        0.00      0.0000      0.0000   
  263   1291        8.00        0.00        8.00      1.0000      0.0000   
  264   1308        0.00        0.00        0.00      0.0000      0.0000   
  265   1315        0.00        0.00        0.00      0.0000      0.0000   
  266   1315        0.00        0.00        0.00      0.0000      0.0000   
  267   1315        0.00        0.00        0.00      0.0000      0.0000   
  268   1318        0.00        0.00        0.00     -0.0000      0.0000   
  269   1318        0.00        0.00        0.00     -0.0000      0.0000   
  270   1320        0.00        0.00        0.00      0.0000      0.0000   
  271   1320        0.00        0.00        0.00      0.0000      0.0000   
  272   1328        0.00        0.00        0.00      0.0000      0.0000   
  273   1330        0.00        0.00        0.00      0.0000      0.0000   
  274   1330        5.00        0.00        5.00      1.0000      0.0000   
  275   1345        0.00        0.00        0.00      0.0000      0.0000   
  276   1349       11.00        0.00       11.00      1.0000      0.0000   
  277   1349       11.00        0.00       11.00      1.0000      0.0000   
  278   1359       18.15        0.00       18.15      1.0000      0.0000   
  279   1359       35.70        0.00       35.70      1.0000      0.0000   
  280   1359        0.00        0.00        0.00      0.0000      0.0000   
  281   1362       45.00        0.00       45.00      1.0000      0.0000   
  282   1361        0.00        0.00        0.00      0.0000      0.0000   
  283   1368        0.00        0.00        0.00      0.0000      0.0000   
  284   1368       13.00        0.00       13.00      1.0000      0.0000   
  285   1415        0.00        0.00        0.00     -0.0000      0.0000   
  286   1425        0.00        0.00        0.00      0.0000      0.0000   
  287   1425       50.00        0.00       50.00      1.0000      0.0000   
  288   1438        0.00        0.00        0.00     -0.0000      0.0000   
  289   1445        0.00        0.00        0.00      0.0000      0.0000   
  290   1459        0.00        0.00        0.00      0.0000      0.0000   
  291   1459        0.00        0.00        0.00      0.0000      0.0000   
  292   1459        0.00        0.00        0.00      0.0000      0.0000   
  293   1468        0.00        0.00        0.00      0.0000      0.0000   
  294   1469        0.00        0.00        0.00      0.0000      0.0000   
  295   1479        0.00        0.00        0.00      0.0000      0.0000   
  296   1500        0.00        0.00        0.00      0.0000      0.0000   
  297   1502        0.00        0.00        0.00      0.0000      0.0000   
  298   1502        0.00        0.00        0.00      0.0000      0.0000   
  299   1522       44.00        0.00       44.00      0.0000      0.0000   
  300   1523      169.00        0.00      169.00      1.0000      0.0000   
  301   1553        0.00        0.00        0.00      0.0000      0.0000   
  302   1553        0.00        0.00        0.00      0.0000      0.0000   
  303   1560       49.00        0.00       49.00      1.0000      0.0000   
  304   1564        0.00        0.00        0.00      0.0000      0.0000   
  305   1564        0.00        0.00        0.00      0.0000      0.0000   
  306   1565        0.00        0.00        0.00      0.0000      0.0000   
  307   1566        0.00        0.00        0.00      0.0000      0.0000   
  308   1570        0.00        0.00        0.00      0.0000      0.0000   
  309   1570        0.00        0.00        0.00      0.0000      0.0000   
  310   1584        0.00        0.00        0.00      0.0000      0.0000   
  311   1594       33.00        0.00       33.00      1.0000      0.0000   
  312   1594        0.00        0.00        0.00      0.0000      0.0000   
  313   1599       36.00        0.00       36.00      1.0000      0.0000   
  314   1599        0.00        0.00        0.00      0.0000      0.0000   
  315   1605        0.00        0.00        0.00      0.0000      0.0000   
  316   1619        0.00        0.00        0.00      0.0000      0.0000   
  317   1619        0.00        0.00        0.00      0.0000      0.0000   
  318   1630        0.00        0.00        0.00      0.0000      0.0000   
  319   1643        0.00        0.00        0.00     -0.0000      0.0000   
  320   1644        0.00        0.00        0.00      0.0000      0.0000   
  321   1644        0.00        0.00        0.00      0.0000      0.0000   
  322   1645       52.00        0.00       52.00      1.0000      0.0000   
  323   1648        0.00        0.00        0.00      0.0000      0.0000   
  324   1659        0.00        0.00        0.00      0.0000      0.0000   
  325   1675        0.00        0.00        0.00      0.0000      0.0000   
  326   1675        0.00        0.00        0.00      0.0000      0.0000   
  327   1684        0.00        0.00        0.00      0.0000      0.0000   
  328   1684        0.00        0.00        0.00      0.0000      0.0000   
  329   1685        0.00        0.00        0.00      0.0000      0.0000   
  330   1686        0.00        0.00        0.00      0.0000      0.0000   
  331   1686        0.00        0.00        0.00      0.0000      0.0000   
  332   1687        0.00        0.00        0.00      0.0000      0.0000   
  333   1688        0.00        0.00        0.00     -0.0000      0.0000   
  334   1693        7.10        0.00        7.10      1.0000      0.0000   
  335   1697        0.00        0.00        0.00      0.0000      0.0000   
  336   1697        0.00        0.00        0.00      0.0000      0.0000   
  337   1697        0.00        0.00        0.00      0.0000      0.0000   
  338   1700        0.00        0.00        0.00      0.0000      0.0000   
  339   1703        0.00        0.00        0.00      0.0000      0.0000   
  340   1704        0.00        0.00        0.00      0.0000      0.0000   
  341   1706       28.90        0.00       28.90      1.0000      0.0000   
  342   1717        0.00        0.00        0.00      0.0000      0.0000   
  343   1728        0.00        0.00        0.00      0.0000      0.0000   
  344   1728        0.00        0.00        0.00      0.0000      0.0000   
  345   1731        0.00        0.00        0.00      0.0000      0.0000   
  346   1733        0.00        0.00        0.00      0.0000      0.0000   
  347   1740        0.00        0.00        0.00      0.0000      0.0000   
  348   1740        0.00        0.00        0.00      0.0000      0.0000   
  349   1747       40.00        0.00       40.00      1.0000      0.0000   
  350   1748       40.00        0.00       40.00      1.0000      0.0000   
  351   1749        0.00        0.00        0.00      0.0000      0.0000   
  352   1803        0.00        0.00        0.00      0.0000      0.0000   
  353   1813        0.00        0.00        0.00      0.0000      0.0000   
  354   1830        0.00        0.00        0.00      0.0000      0.0000   
  355   1837        0.00        0.00        0.00      0.0000      0.0000   
  356   1843        0.00        0.00        0.00      0.0000      0.0000   
  357   1843       32.00        0.00       32.00      1.0000      0.0000   
  358   1853        0.00        0.00        0.00      0.0000      0.0000   
  359   1853        0.00        0.00        0.00      0.0000      0.0000   
  360   1861        0.00        0.00        0.00      0.0000      0.0000   
  361   1864        0.00        0.00        0.00      0.0000      0.0000   
  362   1864        0.00        0.00        0.00      0.0000      0.0000   
  363   1869       24.00        0.00       24.00      1.0000      0.0000   
  364   1869       36.50        0.00       36.50      1.0000      0.0000   
  365   1869       43.50        0.00       43.50      1.0000      0.0000   
  366   1870        0.00        0.00        0.00      0.0000      0.0000   
  367   1871       44.00        0.00       44.00      1.0000      0.0000   
  368   1872        0.00        0.00        0.00      0.0000      0.0000   
  369   1877        0.00        0.00        0.00      0.0000      0.0000   
  370   1886        0.00        0.00        0.00      0.0000      0.0000   
  371   1894       24.00        0.00       24.00      1.0000      0.0000   
  372   1895       24.00        0.00       24.00      1.0000      0.0000   
  373   1896       24.00        0.00       24.00      1.0000      0.0000   
  374   1897       24.00        0.00       24.00      1.0000      0.0000   
  375   1909        0.00        0.00        0.00      0.0000      0.0000   
  376   1928        0.00        0.00        0.00      0.0000      0.0000   
  377   1941        0.00        0.00        0.00      0.0000      0.0000   
  378   1940        0.00        0.00        0.00      0.0000      0.0000   
  379   1949        0.00        0.00        0.00      0.0000      0.0000   
  380   1960        0.00        0.00        0.00      0.0000      0.0000   
  381   1968        0.00        0.00        0.00      0.0000      0.0000   
  382   1969        0.00        0.00        0.00      0.0000      0.0000   
  383   1970       24.00        0.00       24.00      1.0000      0.0000   
  384   1971       24.00        0.00       24.00      1.0000      0.0000   
  385   1972        0.00        0.00        0.00      0.0000      0.0000   
  386   1981        0.00        0.00        0.00      0.0000      0.0000   
  387   1981        0.00        0.00        0.00      0.0000      0.0000   
  388   1982        0.00        0.00        0.00      0.0000      0.0000   
  389   1983        0.00        0.00        0.00      0.0000      0.0000   
  390   1985        0.00        0.00        0.00      0.0000      0.0000   
  391   1987        0.50        0.00        0.50      0.0000      0.0000   
  392   1987        0.00        0.00        0.00     -0.0000      0.0000   
  393   1993        0.00        0.00        0.00      0.0000      0.0000   
  394   2001        0.00        0.00        0.00      0.0000      0.0000   
  395   2008       46.00        0.00       46.00      1.0000      0.0000   
  396   2019        0.00        0.00        0.00      0.0000      0.0000   
  397   2020       24.00        0.00       24.00      1.0000      0.0000   
  398   2020        0.00        0.00        0.00      0.0000      0.0000   
  399   2025        0.00        0.00        0.00      0.0000      0.0000   
  400   2029      -30.00        0.00      -30.00      0.0000      0.0000   
  401   2037        0.00        0.00        0.00      0.0000      0.0000   
  402   2051       34.00        0.00       34.00      1.0000      0.0000   
  403   2061        0.00        0.00        0.00      0.0000      0.0000   
  404   2085        0.00        0.00        0.00      0.0000      0.0000   
  405   2098        0.00        0.00        0.00      0.0000      0.0000   
  406   2099        1.00        0.00        1.00      0.0000      0.0000   
  407   2103       16.00        0.00       16.00      1.0000      0.0000   
  408   2123        0.00        0.00        0.00      0.0000      0.0000   
  409   2123        0.00        0.00        0.00      0.0000      0.0000   
  410   2151        0.00        0.00        0.00      0.0000      0.0000   
  411   2151        0.00        0.00        0.00      0.0000      0.0000   
  412   2161        0.00        0.00        0.00      0.0000      0.0000   
  413   2165       45.00        0.00       45.00      1.0000      0.0000   
  414   2166        0.00        0.00        0.00      0.0000      0.0000   
  415   2182       24.00        0.00       24.00      1.0000      0.0000   
  416   2182        0.00        0.00        0.00      0.0000      0.0000   
  417   2187        0.00        0.00        0.00      0.0000      0.0000   
  418   2190        0.00        0.00        0.00      0.0000      0.0000   
  419   2190        0.00        0.00        0.00      0.0000      0.0000   
  420   2192        0.00        0.00        0.00     -0.0000      0.0000   
  421   2193       15.00        0.00       15.00      1.0000      0.0000   
  422   2195       20.00        0.00       20.00      1.0000      0.0000   
  423   2226        0.00        0.00        0.00      0.0000      0.0000   
  424   2226        0.00        0.00        0.00      0.0000      0.0000   
  425   2245        0.00        0.00        0.00      0.0000      0.0000   
  426   2245        0.00        0.00        0.00      0.0000      0.0000   
  427   2247        0.00        0.00        0.00     -0.0000      0.0000   
  428   2247        2.50        0.00        2.50      0.0000      0.0000   
  429   2281        0.00        0.00        0.00      0.0000      0.0000   
  430   2291        0.00        0.00        0.00      0.0000      0.0000   
  431   2295        0.00        0.00        0.00      0.0000      0.0000   
  432   2297        0.00        0.00        0.00      0.0000      0.0000   
  433   2303        0.00        0.00        0.00      0.0000      0.0000   
  434   2303        0.00        0.00        0.00      0.0000      0.0000   
  435   2329        0.00        0.00        0.00      0.0000      0.0000   
  436   2335        0.00        0.00        0.00      0.0000      0.0000   
  437   2339        0.00        0.00        0.00      0.0000      0.0000   
  438   2341       28.00        0.00       28.00      1.0000      0.0000   
  439   2341       28.00        0.00       28.00      1.0000      0.0000   
  440   2341       28.00        0.00       28.00      1.0000      0.0000   
  441   2342        0.00        0.00        0.00      0.0000      0.0000   
  442   2342        0.00        0.00        0.00      0.0000      0.0000   
  443   2343        0.00        0.00        0.00      0.0000      0.0000   
  444   2364        0.00        0.00        0.00      0.0000      0.0000   
  445   2365        0.00        0.00        0.00      0.0000      0.0000   
  446   2366       24.00        0.00       24.00      1.0000      0.0000   
  447   2367        0.00        0.00        0.00      0.0000      0.0000   
  448   2368       20.00        0.00       20.00      1.0000      0.0000   
  449   2378        0.00        0.00        0.00      0.0000      0.0000   
  450   2394        0.00        0.00        0.00      0.0000      0.0000   
  451   2396       34.90        0.00       34.90      1.0000      0.0000   
  452   2396        0.00        0.00        0.00      0.0000      0.0000   
  453   2412       36.00        0.00       36.00      1.0000      0.0000   
  454   2414        0.00        0.00        0.00      0.0000      0.0000   
  455   2414        0.00        0.00        0.00      0.0000      0.0000   
  456   2421        0.00        0.00        0.00      0.0000      0.0000   
  457   2421        0.00        0.00        0.00      0.0000      0.0000   
  458   2421        0.00        0.00        0.00      0.0000      0.0000   
  459   2433        0.00        0.00        0.00      0.0000      0.0000   
  460   2437        0.00        0.00        0.00      0.0000      0.0000   
  461   2437        0.00        0.00        0.00      0.0000      0.0000   
  462   2440        0.00        0.00        0.00      0.0000      0.0000   
  463   2440        0.00        0.00        0.00      0.0000      0.0000   
  464   2445        0.00        0.00        0.00      0.0000      0.0000   
  465   2444        0.00        0.00        0.00      0.0000      0.0000   
  466   2460        0.00        0.00        0.00      0.0000      0.0000   
  467   2461        0.00        0.00        0.00      0.0000      0.0000   
  468   2461        0.00        0.00        0.00      0.0000      0.0000   
  469   2464        0.00        0.00        0.00      0.0000      0.0000   
  470   2475        0.00        0.00        0.00      0.0000      0.0000   
  471   2481        0.00        0.00        0.00      0.0000      0.0000   
  472   2495        0.00        0.00        0.00      0.0000      0.0000   
  473   2523       50.00        0.00       50.00      1.0000      0.0000   
  474   2523       38.00        0.00       38.00      0.0000      0.0000   
  475   2529        0.00        0.00        0.00      0.0000      0.0000   
  476   2529        0.00        0.00        0.00      0.0000      0.0000   
  477   2530        0.00        0.00        0.00      0.0000      0.0000   
  478   2530        0.00        0.00        0.00      0.0000      0.0000   
  479   2532        0.00        0.00        0.00      0.0000      0.0000   
  480   2545        0.00        0.00        0.00      0.0000      0.0000   
  481   2547        0.00        0.00        0.00      0.0000      0.0000   
  482   2555        0.00        0.00        0.00      0.0000      0.0000   
  483   2555       34.00        0.00       34.00      1.0000      0.0000   
  484   2558        0.00        0.00        0.00      0.0000      0.0000   
